order_id,customer_id,order_date,city,courier_partner,promised_date,delivery_date,order_status
O1,C5,2025-10-05 00:00:00,Indore,QuickShip,2025-10-09 00:00:00,2025-10-11 00:00:00,Delivered
O2,C92,2025-10-03 00:00:00,Indore,QuickShip,2025-10-06 00:00:00,2025-10-09 00:00:00,Cancelled
O3,C170,2025-12-04 00:00:00,Nagpur,ShipNow,2025-12-08 00:00:00,2025-12-11 00:00:00,Delivered
O4,C317,2025-10-04 00:00:00,Nagpur,ShipNow,2025-10-08 00:00:00,2025-10-08 00:00:00,Delivered
O5,C22,2025-12-03 00:00:00,Pune,FastEx,2025-12-05 00:00:00,2025-12-05 00:00:00,Delivered
O6,C326,2025-12-28 00:00:00,Indore,ShipNow,2025-12-30 00:00:00,2025-12-31 00:00:00,Delivered
O7,C1,2025-10-10 00:00:00,Nagpur,FastEx,2025-10-14 00:00:00,2025-10-16 00:00:00,Delivered
O8,C133,2025-10-21 00:00:00,Indore,ShipNow,2025-10-24 00:00:00,2025-10-26 00:00:00,Delivered
O9,C233,2025-11-15 00:00:00,Indore,ShipNow,2025-11-18 00:00:00,2025-11-19 00:00:00,Cancelled
O10,C12,2025-10-27 00:00:00,Nagpur,FastEx,2025-10-29 00:00:00,2025-10-30 00:00:00,Delivered
O11,C346,2025-12-05 00:00:00,Pune,QuickShip,2025-12-07 00:00:00,2025-12-10 00:00:00,Delivered
O12,C46,2025-11-10 00:00:00,Nagpur,FastEx,2025-11-12 00:00:00,2025-11-15 00:00:00,Delivered
O13,C34,2025-10-13 00:00:00,Nagpur,QuickShip,2025-10-15 00:00:00,2025-10-19 00:00:00,RTO
O14,C78,2025-10-09 00:00:00,Indore,QuickShip,2025-10-11 00:00:00,2025-10-14 00:00:00,Delivered
O15,C218,2025-11-05 00:00:00,Nagpur,QuickShip,2025-11-07 00:00:00,2025-11-09 00:00:00,Delivered
O16,C301,2025-12-25 00:00:00,Pune,ShipNow,2025-12-27 00:00:00,2025-12-27 00:00:00,Delivered
O17,C73,2025-12-29 00:00:00,Nagpur,QuickShip,2026-01-01 00:00:00,2026-01-02 00:00:00,Delivered
O18,C282,2025-11-27 00:00:00,Pune,QuickShip,2025-11-29 00:00:00,2025-12-02 00:00:00,Delivered
O19,C249,2025-11-23 00:00:00,Pune,ShipNow,2025-11-25 00:00:00,2025-11-27 00:00:00,Delivered
O20,C47,2025-10-12 00:00:00,Indore,ShipNow,2025-10-15 00:00:00,2025-10-16 00:00:00,Delivered
O21,C121,2025-12-20 00:00:00,Mumbai,FastEx,2025-12-23 00:00:00,2025-12-24 00:00:00,Delivered
O22,C214,2025-12-17 00:00:00,Mumbai,ShipNow,2025-12-21 00:00:00,2025-12-21 00:00:00,Delivered
